feature,importance,fold
PREV_NAME_TYPE_SUITE_nan_MEAN,1091,4
PREV_NAME_YIELD_GROUP_middle_MEAN,1317,4
APPROVED_AMT_ANNUITY_MIN,1225,4
APPROVED_AMT_ANNUITY_MAX,1045,4
APPROVED_AMT_ANNUITY_MEAN,1258,4
APPROVED_AMT_CREDIT_MIN,1090,4
APPROVED_APP_CREDIT_PERC_MIN,1043,4
APPROVED_APP_CREDIT_PERC_MEAN,1270,4
APPROVED_APP_CREDIT_PERC_VAR,1790,4
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1201,4
APPROVED_DAYS_DECISION_MAX,1956,4
APPROVED_DAYS_DECISION_MEAN,1185,4
APPROVED_CNT_PAYMENT_MEAN,1316,4
POS_MONTHS_BALANCE_MEAN,1481,4
POS_MONTHS_BALANCE_SIZE,1279,4
POS_NAME_CONTRACT_STATUS_Active_MEAN,1544,4
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1477,4
INSTAL_DPD_MEAN,1413,4
INSTAL_DBD_MAX,1851,4
INSTAL_DBD_MEAN,2392,4
INSTAL_DBD_SUM,2014,4
INSTAL_PAYMENT_PERC_VAR,1060,4
INSTAL_AMT_INSTALMENT_MAX,1130,4
INSTAL_AMT_INSTALMENT_MEAN,1285,4
INSTAL_AMT_PAYMENT_MIN,2060,4
INSTAL_AMT_PAYMENT_MAX,1117,4
INSTAL_AMT_PAYMENT_MEAN,1339,4
INSTAL_AMT_PAYMENT_SUM,1072,4
INSTAL_DAYS_ENTRY_PAYMENT_MAX,1984,4
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,1640,4
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1389,4
AMT_INCOME_TOTAL,1395,5
AMT_CREDIT,1563,5
AMT_ANNUITY,2216,5
AMT_GOODS_PRICE,1715,5
REGION_POPULATION_RELATIVE,2255,5
DAYS_BIRTH,3195,5
DAYS_EMPLOYED,3075,5
DAYS_REGISTRATION,2785,5
DAYS_ID_PUBLISH,2798,5
OWN_CAR_AGE,1356,5
HOUR_APPR_PROCESS_START,1042,5
EXT_SOURCE_1,2997,5
EXT_SOURCE_2,3731,5
EXT_SOURCE_3,3900,5
TOTALAREA_MODE,1152,5
DAYS_LAST_PHONE_CHANGE,2168,5
DAYS_EMPLOYED_PERC,2925,5
INCOME_CREDIT_PERC,2056,5
INCOME_PER_PERSON,1812,5
ANNUITY_INCOME_PERC,2341,5
PAYMENT_RATE,3829,5
BURO_DAYS_CREDIT_MIN,1074,5
BURO_DAYS_CREDIT_MAX,1661,5
BURO_DAYS_CREDIT_MEAN,1513,5
BURO_DAYS_CREDIT_VAR,1878,5
BURO_DAYS_CREDIT_ENDDATE_MIN,1213,5
BURO_DAYS_CREDIT_ENDDATE_MAX,1394,5
BURO_DAYS_CREDIT_ENDDATE_MEAN,1551,5
BURO_DAYS_CREDIT_UPDATE_MEAN,1466,5
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1474,5
BURO_AMT_CREDIT_SUM_MAX,1250,5
BURO_AMT_CREDIT_SUM_MEAN,1545,5
BURO_AMT_CREDIT_SUM_SUM,1382,5
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1384,5
ACTIVE_DAYS_CREDIT_MIN,1301,5
ACTIVE_DAYS_CREDIT_MAX,1778,5
ACTIVE_DAYS_CREDIT_MEAN,1495,5
ACTIVE_DAYS_CREDIT_VAR,1694,5
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2088,5
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1471,5
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1580,5
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2161,5
ACTIVE_AMT_CREDIT_SUM_MAX,1112,5
ACTIVE_AMT_CREDIT_SUM_MEAN,1441,5
ACTIVE_AMT_CREDIT_SUM_SUM,1291,5
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1422,5
CLOSED_DAYS_CREDIT_MIN,1080,5
CLOSED_DAYS_CREDIT_MAX,1932,5
CLOSED_DAYS_CREDIT_MEAN,1236,5
CLOSED_DAYS_CREDIT_VAR,1789,5
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1145,5
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1916,5
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1287,5
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1445,5
CLOSED_AMT_CREDIT_SUM_MAX,1191,5
CLOSED_AMT_CREDIT_SUM_MEAN,1618,5
CLOSED_AMT_CREDIT_SUM_SUM,1376,5
PREV_AMT_ANNUITY_MIN,1339,5
PREV_AMT_ANNUITY_MEAN,1165,5
PREV_AMT_CREDIT_MEAN,1019,5
PREV_APP_CREDIT_PERC_MIN,1070,5
PREV_APP_CREDIT_PERC_MEAN,1257,5
PREV_APP_CREDIT_PERC_VAR,1868,5
PREV_HOUR_APPR_PROCESS_START_MEAN,1601,5
PREV_RATE_DOWN_PAYMENT_MEAN,1193,5
PREV_DAYS_DECISION_MAX,1766,5
PREV_DAYS_DECISION_MEAN,1359,5
PREV_CNT_PAYMENT_MEAN,1393,5
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1055,5
PREV_NAME_TYPE_SUITE_nan_MEAN,994,5
PREV_NAME_YIELD_GROUP_middle_MEAN,1085,5
APPROVED_AMT_ANNUITY_MIN,1196,5
APPROVED_AMT_ANNUITY_MAX,1130,5
APPROVED_AMT_ANNUITY_MEAN,1168,5
APPROVED_AMT_CREDIT_MIN,1068,5
APPROVED_APP_CREDIT_PERC_MIN,1071,5
APPROVED_APP_CREDIT_PERC_MEAN,1235,5
APPROVED_APP_CREDIT_PERC_VAR,1897,5
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1247,5
APPROVED_DAYS_DECISION_MAX,1985,5
APPROVED_DAYS_DECISION_MEAN,1211,5
APPROVED_CNT_PAYMENT_MEAN,1349,5
POS_MONTHS_BALANCE_MEAN,1434,5
POS_MONTHS_BALANCE_SIZE,1288,5
POS_NAME_CONTRACT_STATUS_Active_MEAN,1658,5
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1477,5
INSTAL_DPD_MEAN,1391,5
INSTAL_DBD_MAX,1814,5
INSTAL_DBD_MEAN,2385,5
INSTAL_DBD_SUM,1973,5
INSTAL_PAYMENT_PERC_VAR,1052,5
INSTAL_AMT_INSTALMENT_MAX,1145,5
INSTAL_AMT_INSTALMENT_MEAN,1230,5
INSTAL_AMT_PAYMENT_MIN,2108,5
INSTAL_AMT_PAYMENT_MAX,1116,5
INSTAL_AMT_PAYMENT_MEAN,1379,5
INSTAL_AMT_PAYMENT_SUM,1146,5
INSTAL_DAYS_ENTRY_PAYMENT_MAX,2064,5
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,1517,5
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1385,5
